"ALLCOLROW","harvest_area"
"CR255208",509.305908203125
"CR255209",427.809631347656
"CR255210",948.945007324219
"CR255211",393.972747802734
"CR255212",333.281768798828
"CR255213",818.034240722656
"CR255214",517.32958984375
"CR255215",1411.44641113281
"CR255216",956.514099121094
"CR255219",549.385864257812
"CR255220",114.95499420166
"CR255222",33.3204193115234
"CR255223",1.38181102275848
"CR255226",1417.85583496094
"CR255227",462.741119384766
"CR255228",1143.16357421875
"CR255229",5211.92724609375
"CR255230",2215.4716796875
"CR255231",1152.28088378906
"CR255232",2770.41479492188
"CR255233",3038.39453125
"CR255234",1034.17321777344
"CR255235",1590.56079101562
"CR255236",3657.97534179688
"CR255237",4066.83422851562
"CR255238",3714.7734375
"CR255239",722.553833007812
"CR255240",890.317138671875
"CR255241",738.662292480469
"CR255242",107.632530212402
"CR255243",305.044708251953
"CR255244",303.019989013672
"CR255245",389.460052490234
"CR255246",75.9972410202026
"CR255247",13.506552696228
"CR256186",2.20356965065002
"CR256188",1.20000004768372
"CR256200",551.812927246094
"CR256201",252.649978637695
"CR256202",360.469635009766
"CR256203",517.193420410156
"CR256204",876.429016113281
"CR256205",1893.2646484375
"CR256206",1819.72778320312
"CR256207",1263.14416503906
"CR256208",785.938110351562
"CR256209",446.072784423828
"CR256210",534.144348144531
"CR256211",387.67724609375
"CR256212",342.794097900391
"CR256213",70.6897735595703
"CR256214",363.1201171875
"CR256215",1214.52880859375
"CR256216",1902.00329589844
"CR256220",70.6669235229492
"CR256221",70.7426071166992
"CR256222",71.44580078125
"CR256223",3.69044351577759
"CR256224",63.8319664001465
"CR256226",283.9580078125
"CR256227",1961.80151367188
"CR256228",3913.40576171875
"CR256229",3273.26098632812
"CR256230",1703.07092285156
"CR256231",1415.8427734375
"CR256232",2248.02490234375
"CR256233",2648.18725585938
"CR256234",1990.93615722656
"CR256235",119.407371520996
"CR256236",2790.1826171875
"CR256237",4184.00537109375
"CR256238",1545.87463378906
"CR256239",235.891006469727
"CR256240",532.653991699219
"CR256241",518.374755859375
"CR256242",77.41796875
"CR256243",329.406616210938
"CR256244",316.948455810547
"CR256245",43.8194847106934
"CR257200",682.053955078125
"CR257201",376.547485351562
"CR257203",2311.7587890625
"CR257204",656.428161621094
"CR257205",1059.81604003906
"CR257206",302.94189453125
"CR257207",299.967102050781
"CR257208",298.315368652344
"CR257209",91.9593658447266
"CR257210",467.231872558594
"CR257211",24.1000003814697
"CR257212",240.601593017578
"CR257213",126.490158081055
"CR257214",392.791931152344
"CR257215",1278.18103027344
"CR257219",99.0737533569336
"CR257220",11.307412147522
"CR257221",11.0889987945557
"CR257222",57.6249656677246
"CR257223",98.1409443855286
"CR257224",86.1528625488281
"CR257226",567.952026367188
"CR257227",2654.79833984375
"CR257228",2510.65991210938
"CR257229",2138.03857421875
"CR257230",2236.62939453125
"CR257231",2050.91455078125
"CR257232",1830.85046386719
"CR257233",550.359069824219
"CR257234",664.118896484375
"CR257235",357.199340820312
"CR257236",2416.71533203125
"CR257237",2424.49584960938
"CR257238",562.563354492188
"CR257239",553.749084472656
"CR257240",506.300354003906
"CR257241",315.185852050781
"CR257242",181.54670715332
"CR257243",224.776107788086
"CR258200",596.028015136719
"CR258201",1040.20007324219
"CR258202",152.664443969727
"CR258204",587.511596679688
"CR258205",512.772766113281
"CR258206",60.5416069030762
"CR258207",5.91680288314819
"CR258208",9.36883163452148
"CR258209",28.0672588348389
"CR258210",29.3684902191162
"CR258211",28.5209369659424
"CR258212",222.046752929688
"CR258213",114.411109924316
"CR258214",371.681030273438
"CR258215",3393.78979492188
"CR258219",14.9591684341431
"CR258220",7.55647039413452
"CR258221",21.6432647705078
"CR258222",143.339477539062
"CR258223",446.153137207031
"CR258226",2139.81323242188
"CR258227",3552.8095703125
"CR258228",2510.34619140625
"CR258229",1179.68005371094
"CR258230",965.749145507812
"CR258231",802.2275390625
"CR258232",265.030883789062
"CR258233",213.554336547852
"CR258234",124.270027160645
"CR258238",882.032836914062
"CR258239",1502.55004882812
"CR258240",11.1508617401123
"CR259200",171.572006225586
"CR259201",531.921325683594
"CR259202",110.149993896484
"CR259203",87.182243347168
"CR259204",238.698348999023
"CR259205",20.1000003814697
"CR259207",3.74305701255798
"CR259208",3.87987661361694
"CR259209",7.88086032867432
"CR259211",56.5508346557617
"CR259212",100.168731689453
"CR259214",896.628967285156
"CR259217",1197.31115722656
"CR259218",162.24040222168
"CR259221",88.6061325073242
"CR259222",105.735359191895
"CR259223",117.159721374512
"CR259224",78.5333938598633
"CR259225",410.297973632812
"CR259226",2460.47534179688
"CR259227",3526.88305664062
"CR259228",2175.04028320312
"CR259229",1103.56774902344
"CR259230",1556.544921875
"CR259231",1539.51379394531
"CR259232",1369.71032714844
"CR259233",1516.31506347656
"CR259239",751.99462890625
"CR259240",511.119903564453
"CR259241",31.16259765625
"CR260201",34.4000015258789
"CR260206",10.1141147613525
"CR260207",18.9703903198242
"CR260208",24.0305919647217
"CR260212",51.8539123535156
"CR260213",101.586242675781
"CR260214",473.648864746094
"CR260215",1100.27673339844
"CR260216",1953.97155761719
"CR260220",137.000350952148
"CR260221",48.8162612915039
"CR260222",124.110237121582
"CR260223",390.430938720703
"CR260224",26.984130859375
"CR260225",299.470062255859
"CR260226",2128.56079101562
"CR260227",2002.20373535156
"CR260228",921.246459960938
"CR260229",2313.71118164062
"CR260230",2773.65625
"CR260231",2662.23950195312
"CR260232",1255.38586425781
"CR260233",1093.50708007812
"CR260238",398.746124267578
"CR261194",9.44968795776367
"CR261200",273.517456054688
"CR261201",145.044204711914
"CR261202",486.468627929688
"CR261203",94.0624771118164
"CR261204",334.174102783203
"CR261205",341.656433105469
"CR261206",9.86913585662842
"CR261207",43.6170692443848
"CR261208",75.7447052001953
"CR261209",35.996826171875
"CR261210",15.0805168151855
"CR261212",236.626724243164
"CR261213",370.754180908203
"CR261214",366.058898925781
